language,sentences
ixl,2000.0
jiv,17405.0
kab,654500.0
kbd,446.0
kmr,11300.0
kpv,645.0
ks,14363.0
kw,8100.0
lij,15539.0
ltg,9466.0
lus,9.0
mdf,60.0
meh,4200.0
mix,2300.0
myv,3772.0
ne_np,9800.0
nn_no,38100.0
nv,150.0
pa_in,32200.000000000004
pai,500.0
ppl,864.0
pt_br,252962100.0
quc,16007.0
quy,1000.0
qvi,79.0
rm,60747.0
rm_sursilv,700.0
rm_vallader,700.0
sah,11100.0
sat,3500.0
sc,21273.0
scn,36487.0
sco,16405.0
ses,700.0
son,10105.0
sv_se,53500.0
syr,8148.0
szl,8593.0
trs,10800.0
tsz,1300.0
ug,616306.0
vec,3300.0
vot,700.0
xcl,65.0
yua,300.0
yue,22100.0
zam,3800.0
zgh,1900.0
zh_cn,31649500.0
zh_hk,800.0
zh_tw,11143913.0
ang,18900.0
ar_TN,1000.0
ara,600.0
az_IR,5200.0
bal,169.0
bem,449.0
bg_BG,15.0
cat,54.0
da_DK,29.0
de_CH,1000.0
dz,835715.0
en_AU,221300.0
en_CA,667100.0
en_NZ,287.0
en_US,7700.0
en_ZA,25.0
es_AR,15900.0
es_CL,15800.0
es_CO,15800.0
es_CR,15800.0
es_DO,15800.0
es_EC,15800.0
es_ES,7800.0
es_GT,15800.0
es_HN,15800.0
es_MX,16400.0
es_NI,15800.0
es_PA,15800.0
es_PE,15800.0
es_PR,16000.0
es_SV,15800.0
es_UY,15900.0
es_VE,15800.0
fa_IR,300.0
foo,53.0
gr,200.0
hi_IN,0.0
io,94800.0
it_IT,100.0
jbo,18302.0
kr,3600.0
li,84550.0
ms_MY,0.0
mus,619.0
nb_NO,8.0
nhn,16.0
nn_NO,8.0
no_nb,91.0
nqo,700.0
nr,25.0
os,3965.0
pt_PT,696.0
quz,7.0
sr_ME,1500.0
tg_TJ,0.0
tk,81800.0
tl_PH,0.0
tmp,1300.0
tr_TR,72.0
ur_PK,2600.0
vi_VN,0.0
ze_en,8300000.000000001
ze_zh,9200000.0
aa,21800.0
ae,500.0
aeb,2.0
aka,2500.0
amh,2000.0
arq,7200.0
arz,123805.0
ase,2500.0
av,3600.0
bam,1500.0
ber,601043.0
bh,3900.0
bi,2060.0
bnt,300.0
bug,1603.0
ce,4145.0
ch,8579.0
cho,1600.0
cku,33.0
cr,405.0
cu,201.0
efi,5700.0
fj,338.0
ful,200.0
hai,400.0
hau,1100.0
haw,1104.0
haz,4.0
hb,8.0
hch,1.0
ho,67.0
hup,90.0
hz,22.0
ibo,12.0
ie,9300.0
ik,501.0
inh,659.0
iro,21.0
iu,733.0
kar,22.0
kau,1000.0
kik,31.0
kin,64.0
kj,1500.0
kl,18190.0
ksh,232.0
kv,140.0
lin,700.0
lkt,122.0
lld,623.0
lu,1.0
luo,100.0
luy,58.0
mad,207.0
mfe,306.0
mlg,900.0
mni,25.0
mo,26.0
moh,91.0
mos,200.0
nci,58.0
nd,4.0
nya,2200.0
orm,200.0
pam,2001.0
pan,300.0
pap,2963.0
pi,206.0
pnb,937.0
prs,8600.0
que,2200.0
run,75.0
rup,719.0
ry,700.0
sa,2700.0
sg,49.0
sgn,100.0
sm,400.0
sna,15.0
som,3700.0
sot,12.0
srp,4900.0
swa,20600.0
tir,300.0
tlh,23686.0
to,278.0
tw,1682.0
umb,52.0
vls,1400.0
vo,5287.0
wol,300.0
xho,2800.0
yaq,43.0
yor,81.0
za,520.0
zul,3500.0
azb,38100.0
bar,127700.0
gom,55704.0
lmo,75731.0
mwl,73624.0
nds_nl,45400.0
simple,1247100.0
wuu,99300.0
acm,49.0
afb,100.0
afh,93.0
aii,7.0
ain,300.0
ajp,8.0
akl,28.0
aln,28.0
alt,7.0
aoz,24.0
apc,92.0
ary,704.0
avk,4203.0
awa,312.0
ayl,3.0
ban,100.0
bho,604.0
bjn,4641.0
bom,52.0
bua,943.0
bvy,77.0
bzt,300.0
cay,35.0
cbk,2700.0
chg,8.0
chn,53.0
chr,10642.0
cjy,49.0
ckt,500.0
cmn,75000.0
cpi,8.0
crk,4.0
cycl,38.0
diq,2706.0
dng,32.0
drt,40.0
dtp,2900.0
dws,57.0
egl,100.0
emx,12.0
enm,100.0
evn,100.0
ext,683.0
fkv,500.0
frm,53.0
fro,200.0
frr,2931.0
fuc,7.0
fuv,3336.0
gag,95.0
gan,103.0
gbm,41.0
gcf,2200.0
gil,15.0
gos,6000.0
got,392.0
grc,1254.0
gsw,1900.0
guc,901.0
hak,83.0
hbo,94.0
hif,1534.0
hnj,4.0
hoc,700.0
hrx,1100.0
hsn,4.0
iba,60.0
ii,60.0
ike,55.0
izh,21.0
jam,627.0
jdt,9.0
jpa,7.0
kaa,32.0
kam,10.0
kek,70624.0
kha,2000.0
kiu,6.0
kjh,41.0
klj,20.0
koi,43.0
krc,256.0
krl,200.0
kum,100.0
kxi,3.0
kzj,4700.0
laa,10.0
lad,1384.0
ldn,200.0
lfn,23600.0
liv,27335.0
lut,60.0
lzh,3900.0
lzz,19.0
max,400.0
mgm,63.0
mh,43.0
mhr,9600.0
mic,18.0
mik,49.0
min,12100.0
mnc,2.0
mnr,3.0
mnw,2609.0
mvv,31.0
mww,82.0
na,21.0
nah,275.0
nan,1920.0
nch,42.0
ngt,19.0
ngu,43.0
niu,33.0
nlv,20.0
nog,200.0
non,31.0
nov,407.0
npi,200.0
nst,800.0
nus,4800.0
nys,3.0
oar,22.0
ofs,23.0
ood,28.0
orv,1300.0
osp,23.0
ota,2700.0
otk,18.0
pag,64.0
pal,5.0
pau,35.0
pcd,1500.0
pdc,161.0
pes,55800.0
phn,28.0
pms,1173.0
prg,1000.0
qu,1400.0
qxq,14.0
qya,100.0
rap,35.0
rif,200.0
rn,6233.0
rom,11432.0
rue,800.0
sdh,900.0
sgs,3549.0
shi,10200.0
shs,500.0
shy,200.0
sjn,89.0
sma,59.0
srn,87.0
stq,104.0
sux,200.0
swg,2100.0
swh,600.0
syc,3.0
thv,600.0
tig,3.0
tkl,12.0
tly,66.0
tmr,83.0
tmw,7.0
toi,15.0
toki,60700.0
tpi,112.0
tpw,600.0
tts,55.0
tvl,15.0
ty,79.0
tyv,7819.0
tzl,400.0
udm,468.0
vep,38.0
vro,1020.0
war,4400.0
xal,938.0
xmf,160.0
xqa,12.0
zea,33.0
zlm,1100.0
zsm,6300.0
zza,2100.0
fr_ca,37300.0
arc,3.0
atj,32.0
bcl,20000.0
be_tarask,2800.0
bpy,19.0
cbk_zam,25.0
cdo,91.0
chy,400.0
crh_latn,97.0
din,3416.0
dty,200.0
eml,500.0
gcr,1.0
glk,1200.0
kbp,2.0
ki,10.0
lbe,16.0
lez,23.0
lrc,13.0
map_bms,12.0
mrj,43.0
mzn,400.0
nap,449.0
new,600.0
nrm,10.0
olo,6.0
pfl,200.0
pih,100.0
pnt,200.0
rmy,200.0
roa_tara,3.0
shn,3963.0
skr,3.0
smn,22.0
tcy,500.0
tum,8.0
zh_yue,14.0
acu,16400.0
agr,11400.0
ake,11600.0
amu,15100.0
bsn,20000.0
chq,11300.0
cjp,12500.0
cni,19100.0
cop,8000.0
crp,65700.0
dik,8900.0
dje,54300.0
djk,22100.0
dop,14200.0
gbi,14800.0
jak,12500.0
jap,62200.0
kbh,11700.0
mam,13100.0
nhg,13500.0
ojb,7900.0
pck,35300.0
plt,37100.0
pot,2200.0
ppk,15800.0
quw,12400.0
tmh,4100.0
usp,11700.0
wal,10100.0
ar_SY,6.0
byn,4.0
de_AT,58.0
de_DE,1800.0
fa_AF,100.0
fr_CA,7900.0
fr_FR,500.0
kok,5.0
miq,200.0
nl_NL,10.0
oj,5.0
pmy,63.0
sml,29.0
ta_LK,12400.0
trv,19.0
wae,1400.0
